Label;Scope;Max;Value
4 DataPool generic class;Subtotal;4.00;4.00
4a DataPool class declaration;Element;1.00;1.00
4b DataPool repeated add/get;Element;1.00;1.00
4c DataPool remove among adds;Element;1.00;1.00
4e DataPool occupancy indicators;Element;0.50;0.50
4e DataPool optimal storage;Element;0.50;0.50
