Label;Scope;Max;Value
1.1 Subtyping: AbstractShape class;Subtotal;3.00;3.00
1.1a AbstractShape important declaration parts;Element;1.00;1.00
1.1b AbstractShape detailed declaration;Element;1.00;1.00
1.1c AbstractShape concrete parts;Element;1.00;1.00
